state,abbr,population
alabama,AL,4903185
alaska,AK,731545
arizona,AZ,7278717
arkansas,AR,3017804
california,CA,39512223
colorado,CO,5758736
connecticut,CT,3565287
delaware,DE,973764
district of columbia,DC,705749
florida,FL,21477737
georgia,GA,10617423
hawaii,HI,1415872
idaho,ID,1787065
illinois,IL,12671821
indiana,IN,6732219
iowa,IA,3155070
kansas,KS,2913314
kentucky,KY,4467673
louisiana,LA,4648794
maine,ME,1344212
maryland,MD,6045680
massachusetts,MA,6892503
michigan,MI,9986857
minnesota,MN,5639632
mississippi,MS,2976149
missouri,MO,6137428
montana,MT,1068778
nebraska,NE,1934408
nevada,NV,3080156
new hampshire,NH,1359711
new jersey,NJ,8882190
new mexico,NM,2096829
new york,NY,19453561
north carolina,NC,10488084
north dakota,ND,762062
ohio,OH,11689100
oklahoma,OK,3956971
oregon,OR,4217737
pennsylvania,PA,12801989
rhode island,RI,1059361
south carolina,SC,5148714
south dakota,SD,884659
tennessee,TN,6829174
texas,TX,28995881
utah,UT,3205958
vermont,VT,623989
virginia,VA,8535519
washington,WA,7614893
west virginia,WV,1792147
wisconsin,WI,5822434
wyoming,WY,578759
